#separator:tab,
#html:true,
merkwürdig,"Etrange, connotation neutre/etonnant"
verschwenden,gaspiller
aus/bilden,former
"die Ausbildung, en",la formation
"die Bildung, /",la culture (de quelqu'un)
gebildet (un-),cultivé (inculte)
"die Schule, n",l'école
lernen,apprendre
"der Schüler, - / die -in","l'écolier, l'écolière, l'élève"
"die Mappe, n","la serviette, le cartable, le dossier"
auswendig,par coeur
"bei/bringen - bringt bei, brachte bei, hat beigebracht (+D)",enseigner (à qn)
"der Lehrer, / die -in","le, la maître-sse d'école"
"das Diplom, e",le diplôme
schwänzen,"courber, sécher (les cours)"
"die Lehre, n",l'apprentissage
"die Pause, n","1. la pause, la récréation 2. l'entracte"
"die Universität, en&nbsp;",l'universtié
studieren (meist an Hochschulen),étudier (à l'universtié)
"der Student, en, en / die -in",l'étudiant-e (à l'université)
prüfen,"1. examiner, vérifier 2. éprouver"
"die Prüfung, en",1. l'examen 2. l'épreuve
"die Stunde, n","la leçon, l'heure"
"der Kurs, e",le cours
üben,(s')exercer
"das Beispiel, e&nbsp;",l'exemple
"die Ausnahme, n",l'exception
(sich) verbessern,(s') améliorer
"das Thema, die Themen","le thème, le sujet"
zusammen/fassen,résumer
"die Zusammenfassung, en",le résumé
"die Wissenschaft, en&nbsp;",la science
"der Vortrag, die Vorträge","l'exposé, la conférence"
entdecken,découvrir
"die Entdeckung, en",la découverde
"das Fach, die Fächer","la branche, la discipline"
"der Aufsatz, die Aufsätze","la composition, la dissertation"
"die Medizin, /",la médecine
"die Forschung, en",la recherche (scientifique)
forschen (nach+D),"faire de la recherche (sur), rechercher (qc)"
reisen,voyager
"die Reise, n&nbsp;",le voyage
der Reisende,le voyageur
ab/reisen,partir en voyage
begleiten,accompagner
packen,"faire sa valise, empaqueter"
"die Fahrt, en","la course, le voyage, le trajet (en voiture)"
"die Strecke, n","la distance, le trajet"
unterwegs,1. en route 2. chemin faisant
"die Ankunft, /",l'arrivée
zurück/kehren,"revenir, rentrer, retourner"
"das Land, die Länder",le pays
"der Ausländer, - / die -in",l'étranger / -ère
ausländisch,étranger
fremd,étranger (à une région)
"die Grenze, n",la frontière
"der Pass, die Pässe",le passeport / le col
verlängern,prolonger
die Ferien (Pl.),les vacances
kontrollieren,contrôler
"der Urlaub, /","les vacances, le congé"
"der Tourist, en, en / die -in","le, la touriste"
"der Tourismus, /",le tourisme
touristisch,touristique
besichtigen,visiter (tourisme)
"das Hotel, s",&nbsp;l'hôtel
zelten / campen,camper
"der Zug, die Züge",le train
verpassen,"manquer, rater (occasion, véhicule)"
"der Bahnhof, die Bahnhöfe",la gare
"fliegen - fliegt, flog, ist/hat geflogen",1. (sein) voler (dans les airs) 2. (haben) piloter (avion)
"das Flugzeug, e",l'avion
"der Flug, die Flüge",le vol (dans les airs)
"der Flughafen, die Flughäfen",l'aéroport
starten,"décoller, démarrer, partir"
"das Schiff, e",le bateau
"der Sport, /",le sport
"der Sportler, - / die -in","le, la sportif / -ive"
sportlich,sportif
"rennen - rennt, rannte, ist gerannt",courir (vite)
"die Geschwindigkeit, en",la vitesse
"spazieren gehen - geht spazieren, ging spazieren, ist spazieren gegangen","promener, aller se promener"
trainieren,(s')entraîner
wandern,"faire une excursion à pied, se ballader"
"reiten - reitet, riet, ist geritten",faire de l'équitation
klettern,"grimper, escalader"
steil,"raide, escarpé"
"das Seil, e",la corde
"der Stock, die Stöcke","le bâton, la canne"
"reissen - reisst, riss, ist gerissen","se déchirer, rompre"
rutschen,glisser
"springen - springt, sprang, ist gesprungen.",sauter
"schwimmen - schimmt, schwamm, ist geschwommen",nager
turnen,faire de la gymnastique
"ertrinken - ertrinkt, ertrank, ist ertrunken",se noyer
retten,sauver
"die Rettung, en",le sauvetage
"das Spiel, e",le jeu
"teil/nehmen - nimmt teil, nahm teil, hat teilgenommen (an+D)","participer, prendre part (à)"
"der Spieler, - / die -in","le, la joueur / -euse"
"der Sieg, e",la victoire
"der Sieger, - / die -in","le, la vainqueur / -euse"
"schlagen - schägt, schlug, hat geschlagen","frapper, battre"
"der Schlag, die Schläge",le coup
Schach spielen,jouer aux échecs
"der Ball, die Bälle","la balle, le ballon"
siegen (über + A),"vaincre, gagner (<b>intransitif</b>)"
besiegen (+A oblig.),vaincre (<b>transitif</b>)
tricher,falsch spielen
sich erholen (von+D),"1. se reposer de (intr)&nbsp; 2. se rétablir (de), se remettre (de)&nbsp;"
"die Freizeit, /",les loisirs
"das Hobby,s&nbsp;","le hobby, le passe temps<br>"
(sich) interessieren (für + A),(s') intérésser (à)
interessant (un-),intéréssant
spannend,captivant
langweilig,ennuyeux
sammeln,"ramasser, cueillir, collectionner"
fotografieren,photographier
"das Foto, s",la photo
vergrössern,agrandir
verkleinern,réduire (rendre plus petit)
filmen,filmer
"der Film, e",le film
"die Kamera, s",la caméra
"das Kino, s",le cinéma
"aus/gehen - geht aus, ging aus, hat ausgegangen",sortir (pour se divertir)
tanzen,danser
"die Menschlichkeit, /",l'humanité (la qualité)
"die Menschheit, /",l'humanité
"der Freund, e / die -in",l'ami-e
"die Freundschaft, en",l'amitié
"der Partner, - / die -in",le compagnon/la compagne (couple)
"die Clique, n",la bande de copains
kennen/lernen (+A),faire (la) connaissance (de qn)
zusammen,"ensemble, en tout, au total"
gemeinsam,"commun, en commun, ensemble"
einander&nbsp;,l'un l'autre
"miteinander, voneinander, usw","l'un avec l'autre, l'un de l'autre"
"helfen - hilft, half, hat geholfen (+D / bei + D)",aider (qn/à faire qc)
"die Hilfe, n","l'aide, le secours"
hilfsbereit&nbsp;,secourable
hilflos,désemparé
"der Dienst, e",le service
respektieren,respecter
"der Respekt, / (vor + D)","le respect, l'estime (de, pour)"
besuchen (+A),"visiter, fréquenter, rendre visite (à)"
"der Besuch, e",la visite
"die Einladung, en",l'invitation
feiern,"fêter, célébrer"
"der Feind, e / die -in",l'ennemi
feindlich,"hostile, ennemi"
"das Fest, e / die Feier, n",la fête
"der Gegner, - / die -in",l'adversaire
"(sich) streiten - streitet, stritt, hat gestritten","se quereller, se disputer, se battre"
"der Streit, e","la querelle, la dispute"
kämpfen,"se battre, combattre"
"der Kampf, die Kämpfe",le combat
provozieren,"provoquer, défier"
drohen (+D / mit+D),menacer (qn / de qc)
misshandeln,maltraiter
"das Individuum, Individuen",l'individu
"betrügen - betrügt, betrog, hat betrogen","tromper, escroquer"
"nach/geben - gibt nach, gab nach, hat nachgegeben (+D)","céder, ne pas résister (à)"
"die Chance, n",la chance (de réussite)
allein,seul
einsam,solitaire
"verlassen - verlässt, verließ, hat verlassen","quitter, abandonner"
"treffen - trifft, traf, hat getroffen","rencontrer, atteindre"
versammeln,rassembler
ab/machen,"arranger, convenir, fixer"
wegen (+G),"à cause de, grâce à"
"die Gemeinschaft, en",la communauté
"der Verein, e","la société, l'association"
"die Gruppe, n",le groupe
"die Menge, n","la foule, la quantité"
"geben - gibt, gab, hat gegeben",donner
"bringen - bringt, brachte, hat gebracht","apporter, amener, conduire"
"bekommen - bekommt, bekam, hat bekommen","recevoir, obtenir (commence par une consonne)"
schenken (+A),"offrir, donner, faire cadeau (de)"
"erhalten - erhält, erhielt, hat erhalten","recevoir, obtenir (commence par une voyelle)"
"an/nehmen - nimmt an, nahm an, hat angenommen","accepter, admettre"
erwarten (von + D),"1. attendre qc de qn 2. s'attendre à, escompter"
"versprechen - verspricht, versprach, hat versprochen",promettre
"das Versprechen, /&nbsp;",la promesse
"die Freiheit, en",la liberté
frei (un-),libre (captif)
"die Pflicht, en",le devoir (moral)
"die Aufgabe, n","le devoir, la tâche"
"zwingen - zwingt, zwang, hat gezwungen (zu+D)","forcer, contraindre (à)"
beeinflussen,influencer
"der Einfluss, die Einflüsse&nbsp;",l'influence
verachten&nbsp;,mépriser
"die Rache, /",la vengeance
"die Nation, en",la nation
"der Staat, en",L'état
"die Heimat, /","la patrie, le pays natal"
vereinigen,"réunir, unir"
"das Gebiet, e","le territoire, la région, le domaine"
"die Einheit, en",l'unité
"die Union, en",l'union
"die Gesellschaft, en",la société
"die Demokratie, n",la démocratie
"das Volk, die Völker",le peuple
"der Bürger, - / die -in","1. le, la citoyen 2. le, la bourgeois-e"
bürgerlich,"bourgeois, civique"
wählen (zu+D),1. choisir 2. élire (au poste de)
"die Wahl, en","l'élection, le choix"
ab/stimmen (über+A),voter (sur)
"das Parlament, e",le parlement
"die Regierung, en",le gouvernement
"der König, e / die -in",le roi / la reine
"die Gemeinde, n",1. la commune 2. la paroisse
"die Politik, /",la politique&nbsp;
"der Politiker, - / die -in","le, la politicien-ne"
"die Macht, die Mächte","la puissance, le pouvoir"
mächtig,puissant
machtloss,impuissant
regieren,gouverner
"die Krise, n",la crise
unterdrücken,"opprimer, réprimer"
"die Gewalt, en","1. la puissance 2. la force, la violence"
"der Fortschritt, e",le progrès
fortschrittlich,"progressiste, ouvert au progrès"
reformieren,réformer
protestieren,protester
öffentlich,public
"das Gesetz, e",la loi
schützen (vor + D / gegen + A),protéger (de)
"der Schutz, /",la protection
gründen,fonder
"das Recht, e",le droit
"die Gerechtigkeit, /",la justice
gerecht (un-),"juste, équitable (injuste)"
"die Verantwortung, /",la responsabilité
"die Schuld, /","la faute, la culpabilité"
schuld sein (an+D),"être coupable, fautif, responsable (de)"
schaden (+D),"nuire, faire du tort (à)"
"begehen - begeht, beging, hat begangen",commettre
"stehlen - stiehlt, stahl, hat gestohlen",voler
"der Fall, die Fälle",1. le cas<br>2. la chute
"der Verdacht, /",le soupçon
"das Gericht, e",le tribunal
an/zeigen,dénoncer
strafen,punir
"das Gefängnis, ses, se",la prison
"die Religion, en",la religion
beten (zu+D),prier
"die Sünde, n",le péché
"die Seele, n",l'âme
"die Geschichte, /",l'histoire
historisch,historique
"der Ursprung, die Ursprünge",l'origine
"der Friede, ns, n",la paix
"der Krieg, e",la guerre
"der Soldat, en, en&nbsp;",le soldat
sicher (unsicher),"sûr, certain (incertain)"
"die Sicherheit, en","la sécurité, la sureté"
zerstören,détruire
"die Kultur, en","la civilisation, la culture"
"die Kunst, die Künste",l'art
"der Künstler, - / die -in",l'artiste
charakteristisch / bezeichnend,caractéristique
geschickt,"habile, adroit"
"schaffen - schafft, schuf, hat geschaffen",créer
"die Fantasie, n","l'imagination, la fantaisie"
"die Fiktion, en",la fiction
"das Werk, e (kunstlerisch zum beispiel)",l'oeuvre
"der Stil, e",le style
"der Titel, -",le titre
"die Struktur, en / der Aufbau, /","la structure, la construction"
"das Publikum, /",le public
"das Verbrechen, -",le crime
"der Verbrecher, - / die -in","le, la criminel-le"
"der Dieb, e / die -in",le voleur&nbsp;
ermorden,assassiner
"der Überfall, die Überfälle","l'attaque, le hold up"
"der Mord, e","le meutre, l'assassinat"
"der Mörder, - / die -in","le, la meurtrier / -ère, l'assassin"
verhaften&nbsp;,appréhender / arrêter
"der Prozess, e",1. le procès 2. le processus
"der Richter, - / die -in","le, la juge"
"der Anwalt, die Anwälte / die Anwältin",l'avocat / -e
an/klagen (+G / wegen +G),accuser (de)
"die Klage, n",la plainte (pénale)
"die Strafe, n","la punition, l'amende"
harmlos,"inoffensif, anodin"
schädlich,nuisible
"das Vergehen, -","la faute, le délit"
"das Delikt, e","le délit, l'infraction"
verbrecherisch / kriminell,criminel (adjectif)
klauen,"voler, chiper, piquer"
rauben,"piller, prendre de force"
"ein/brechen - bricht ein, brach ein, hat eingebrochen (intransitif)",cambrioler
"der Geisel, -",l'otage
verdächtigen (+G),soupçonner (de)
verhören,interroger (durant une enquête)
"das Verhör, e",l'interrogatoire
"der Staatsanwalt, die Staatsanwälte / die Staatsanwältin","le, la procureur"
zeugen (von+D),témoigner (de)
"frei/sprechen - spricht frei, sprach frei, hat freigesprochen&nbsp;",acquitter
glauben (+A),croire (qc)
glauben (+D),croire (qn)
glauben (an+D),croire (en)
"das Gebet, e",la prière
"der Gott, die Götter / die Göttin","le dieu, la déesse"
"das Kreuz, e",la croix
"die Bibel, n",la bible
ewig,éternel
"das Wunder, -",le miracle
"der Teufel, -",le diable
"die Kirche, n",l'église
"die Glocke, n",la cloche
Christ(us),le Christ
"der Gottesdienst, e","le service divin, le culte"
"das Paradies, e",le paradis
"die Hölle, /",l'enfer
"der Katholik, en, en / -in","le, la catholique"
katholisch,catholique
"der Protestant, en, en / die -in","le, la protestant -e"
protestantisch&nbsp;,protestant
"das Judentum, /",le judaïsme&nbsp;
"der Jude, n, n / die Jüdin","le juif, la juive"
jüdisch,juif
"der Islam, /",l'islam
"der Moslem, s / die -in",le la musulman -e
"der Glaube, ns, /","la foi, la croyance"
fromm,"croyant, pieux"
"der Aberglaube, ns, /",la superstition
verehren,vénérer
heilig,"saint, sacré"
"das Christentum, /",le christianisme
"der Christ, en, en / die -in","le, la chrétien-ne"
christlich (un-),chrétien (indigne d'un chrétien)
"der Priester, -",le prêtre
"der Pfarrer, - / die -in","le pasteur, le curé"
"der Papst, die Päpste",le pape
"der Bischof, die Bischöfe",l'évèque
"die Reformation, /",la Réforme&nbsp;
sterblich&nbsp; (un-),mortel (im-)
"der Friedhof, die Friedhöfe&nbsp;",le cimetière
segnen,bénir
verdammen,"condamner, maudire"
"das Gebot, e",le commandement divin
bereuren (+A),"regretter (qc), se repentir (de)"
"das Kloster, die Klöster","le couvent, le cloître"
"die Nonne, n","la nonne, la religieuse"
"der Monch, die Mönche&nbsp;",le moine
"der Heide, n, n / die -in","le , la païen-ne"
"der Atheist, en, en",l'athée
"das Zeitalter, -","l'époque, l'ère"
"die Epoche, n",l'époque
"die Tradition, en",la tradition
"die Sage, n / die Legende, n",la légende
ursprünglich,"original, primitif"
stammen (aus+D),être originaire (de)
"das Altertum, /",l'antiquité (époque)
"der Römer, - / die -in","le, la Romain-e"
römisch&nbsp;,romain
"das Mittelalter, /",le moyen âge
"der RItter, -",le chevalier
"die Burg, en",le château fort
"der Kreuzzung, die Kreuzzüge",la croisade
"die Neuzeit, /",l'époque moderne
"der Zeitgenosse, n, n / die -in","le, la contemporain-e"
zeitgenössisch,contemporain
"der Held, en, en / die -in","le héros, l'héroïne"
"der Adel, -",la noblesse
ad(e)lig,"noble, de la noblesse"
edel (un-),"noble, précieux, de valeur (inférieur, de basse qualité)"
"der Aufstieg, e","l'ascension, l'essor"
"der Untergang, /","la chute, le déclin"
der Nationalsozialismus,le national socialisme
"der Nazi, s",le Nazi
die Gestapo,la Gestapo
die SS,la SS
die SA,la SA
"der Antisemitismus, /",l'antisémitisme
"der Kozentrationslager, - (KZ)",le camp de concentration
die DDR (Deutsche Demokratische Republik),la RDA (République Démocratique Allemande)
die BRD (Bundesrepublik Deutschland),la RFA (République Fédérale d'Allemagne)
die Berliner Mauer,le mur de Berlin
die Stasi (Staatssicherheit),la Stasi (sécurité d'état)
friedlich,"paisible, pacifique"
"die Armee, n / das Heer, e",l'armée
"der Militärdienst, /",le service militaire
sich wehren (gegen +A),se défendre (contre)
(sich) verteidigen (gegen+A),(se) défendre (contre)
"der Verteidiger, - / die -in","le défenseur, l'avocat de la défense"
"die Verteidigung, en",la défense
"an/greifen - greift an, griff an, hat angegriffen",attaquer
"der Angriff, e",l'attaque
"die Waffe, n",l'arme
"das Gewehr, e",le fusil
"schießen - schießt, schoss, hat geschossen",tirer (avec une arme)
"der Schuss, die Schüsse",le coup (de feu)
"die Bombe, n",la bombe
"der Zivildienst, /",le service civil
sich bemächtigen (+G),s'emparer (de)
erobern,conquérir
"die Eroberung, en",la conquête
"die Schlacht, en",la bataille
"die Niederlage, n",la défaite
"die Abrüstung, /",le désarmement
"die Kanone, n",le canon
"das Kunstwerk, e",l'oeuvre d'art
originell,original
"nach/ahmen, nach/machen, imitieren",imiter
"die Eintrittskarte, n","le ticket, le billet d'entrée"
"das Programm, e",le programme
interpretieren,interpréter
"der Aspekt, e",&nbsp;l'aspect
"der Mittelpunkt, e","le centre, le milieu"
dar/stellen,1. représenter 2. jouer (rôle)
"das Porträt, s",le portrait
"die Figur, en","1, le personnage, la figure 2. la stature"
"die Atmosphäre, n / die Stimmung, en","l'atmosphère, l'ambiance&nbsp;"
sonderbar&nbsp;,"étrange, bizarre"
vollkommen (un) / perfekt,parfait
"die Tendenz, en / der Trend, s",la tendance
"der Meister, - / die -in","le maître, la maîtresse"
"begabt, (un-)",doué
"das Genie, s",le génie
verwandeln (in+A),"tranformer, métamorphoser (en)"
"das Meisterwerk, e",le chef d'oeuvre
"die Strömung, en",&nbsp;le courant
"die Gattung, en",le genre
romanisch,roman
gotisch,gothique
"das (der) Barock, /","le baroque, l'époque baroque"
barock,baroque (adj.)
"die Klassik, /","le classicisme, l'époque classique"
klassisch,classique
"die Romantik, /","le romantisme, l'époque romantique"
romantisch,romantique
"der Beifall, / // der Applaus, /","les applaudissements, l'approbation"
deuten (+A),"donner un sens (à), interpréter"
gestalten (+A),"façonner, organiser, structurer"
"die Gestalt, en","le personnage, la figure, la forme"
"das Motiv, e",le motif
"der Vordergrund, /",le premier plan
"der Hintergrund, die Hintergründe","le fond, l'arrière plan"
"das Symbol, e / das Sinnbild, er",le symbole
verkörpern,"incarner, représenter"
"der Zauber, /","le charme , l'enchantement"
zauberhaft,"enchanté, merveilleux"
"die Abwechslung, en","le changement, l'alternance, la variété"
malen,peindre
"der Maler, - / die -in","le, la peintre"
"das Bild, er","l'image, le tableau"
"der Rahmen, -",le cadre
"der Pinsel, -",le pinceau
zeichnen,dessiner
"die Zeichnung, en",le dessin
"der Architekt, en, en / die -in",l'architecte
"die Ausstellung, en",l'exposition
"das Museum, die Museen",le musée
die bildende Kunst,les arts plastiques
"die Malerei, en",la peinture
"das Gemälde, -",le tableau
"die Skizze, n","le brouillon, l'esquisse, le projet"
"die Plastik, en",la sculpture
"der Bildhauer, - / die -in","le, la sculpteur / -trice"
die Öffnungszeiten (pl.),les heures d'ouverture
"die Literatur, en",la littérature
literarisch,littéraire
"das Buch, die Bücher",le livre
"die Seite, n","1. le côté, la face 2. la page"
"lesen - liest, las, hat gelesen",lire
"der Leser, - / die -in","le, la lecteur / -trice"
"der Autor, en / die -in&nbsp;<br>der Verfasser, - / die -in",l'auteur-e
"der Schriftsteller, - / die -in",l'écrivain-e
"die Buchhandlung, en",la librairie
"die Bibliothek, en",la bibliothèque
"die Poesie, /",la poésie
poetisch,poétique
"das Gedicht, e",le poème
"die Prosa, /",la prose
"beschreiben - beschreibt, beschrieb, hat beschrieben",décrire
"die Beschreibung, en",la description
"der Roman, e",le roman
"die Novelle, n&nbsp;",la nouvelle (le genre littéraire)
"der Krimi, s","le film, le roman policier"
"das Kapitel, -",le chapitre
erzählen (von+D),"rencontrer, parler (de), narrer"
"die Erzählung, en","le récit, la narration"
"das Märchen, -","le conte de fées, l'histoire imaginaire"
spielen,"1. se passer, se dérouler 2. jouer"
"das Theater, -",le théâtre
dramatisch (un-),dramatique
komisch,"bizarre, drôle, comique, singulier"
tragisch,tragique
"das (Theater)Stück, e",la pièce (de théatre)
"der Schauspieler, - / die -in","l'acteur, -trice"
"die Rolle, n",le rôle
"der Text, e",le texte
"die Stelle, n / die Passage, n",le passage (d'un texte)
"der Abschnitt, e","l'alinéa, le paragraphe"
"die Zeile, n",la ligne
zitieren&nbsp;<br>an/führen,citer
"das Zitat, e",la citation
"der Band, die Bände","le volume (dans une série de livres/films, usw.)"
"der Dichter, - / die -in","le poète, l'écrivain"
"die Dichtung, en","la création littéraire, l'oeuvre poétique"
"der Verlag, e",la maison d'édition
"heraus/geben - gibt heraus, gab heraus, hat herausgegeben",éditer&nbsp;
veröffentlichen / publizieren,publier
"die Lyrik, /","la poésie lyrique, le lyrisme"
lyrisch,lyrique
"die Strophe, n",la strophe
"der Vers, e",le vers
"der Reim, e",la rime
episch,épique
schildern,"décrire, évoquer"
"das Drama, die Dramen",le drame
"die Komödie, n&nbsp;<br>das Lustspiel, e",la comédie
die Tragödie n,la tragédie
"das Schauspiel, e","le spectacle, la pièce de théatre"
"das Hörspiel, e",la pièce radiophonique
"der Akt, e",1. l'acte (d'une pièce de théatre par exemple)<br>2. le nu
"die Szene, n",la scène (l'action)
"die Bühne, n",la scène (l'espace)
auf/führen,"représenter, jouer"
"die Aufführung, en","la représentation (d'une pièce de théatre, d'un auteur)"
"die Vorstellung, en","1. la représentation, le spectacle 2. l'idée, la notion"
bei/wohnen (+D),assister (à)
"der Auszug, die Auszüge&nbsp;",l'extrait
wörtlich,"littéral, textuel"
"die Inhaltsangabe, n","le résume, l'analyse sommaire"
"die Musik, /",la musique
"der Musiker, - / die -in","le, la musicien-ne"
musikalisch (un-),1 musical 2. musicien
"klingen - klingt, klang, hat geklungen","sonner, résonner"
"die Melodie, n",la mélodie
"die Note, n",la note
"singen - singt, sang, hat gesungen",chanter
"das Lied, er","la chanson, le chant"
"der Sänger, - / die -in",le chanteur
"das Konzert, e",1. le concert 2. le concerto
"das Orchester, -",l'orchestre
"das Instrument, e&nbsp;",l'instrument
"die Geige, n / die Violine, n",le violon
"die Flöte, n",la flûte
"die Klarinette, n",la clarinette
"die Trompete, n",la trompette
"das Klavier, e",le piano
"die Gitarre, n",la guitare
"der Rhythmus, die Rhythmen",le rythme
rhythmisch,rythmique
"der Klang, die Klänge","le son, la sonorité"
"der Komponist, en, en / die -in","le, la compositeur / -trice"
"die Tonart, en",la tonalité
"der Takt, e",la mesure (musicale)
"der Gesang, die Gesänge",le chant
"der Chor, die Chöre",le choeur
"die Symponie, n / die Sinfonie, n",la symphonie
"der Dirigent, en, en / die -in",le chef d'orchestre
"das Cello, s",le violoncelle
"die Orgel, n",l'orgue
"das Schlagzeug, e","la batterie (instrument de musique), la percussion"
"das Haus, die Haüser",la maison
"die Villa, die Villen",la villa
"das Miethaus, die Miethäuser",l'immeuble locatif
mieten,louer (prendre en location)
vermieten,louer (mettre en location)
"der Mieter, - / die -in","le, la locataire"
"die Miete, n",le loyer
"der Nachbar, (n), n / die -in",le voisin
"die Wohnung, en",l'appartement
wohnen,habiter
"das Heim, e","le foyer, le chez soi"
"um/ziehen - zieht um, zog um, ist umgezogen",déménager
"der Stock, /&nbsp;<br>die Etage, n<br>das Stockwerk, e",l'étage
"die Treppe, n",l'escalier
"die Stufe, n","la marche, le degré"
"die Leiter, n",l'échelle
"der Fahrstuhl, die Fahrstüle<br>der Lift, e","l'ascenseur, le lift"
"der Keller, -",la cave
"der Erdgeschoss, e",le rez-de-chaussée
"das Dach, die Dächer",le toit
"die Mauer, n",le mur
"die Wand, die Wände",la paroi
"die Tür, e",la porte
"das Schloss, die Schlösser",1. le château 2. la serrure
"der Schlüssel, -",la clé
"ab/schliessen - schließt ab, schloss ab, hat abgeschlossen",fermer (à clé)
klopfen,frapper (à la porte)
"die Klingel, n",la sonnette
läuten / klingen,sonner&nbsp;
"der Eingang, die Eingänge","l'entrée, accès"
"der Ausgang, die Ausgänge",la sortie
"das Zimmer, -",la chambre
"das Wohnzimmer, -","le salle de séjour, le living, le salon"
"der Saal, die Säle",la salle
"der Sitz, e",le siège
"der Stuhl, die Stühle",la chaise
"der Sessel, -",le fauteuil
"die Bank, die Bänke",le banc
"das Sofa,s&nbsp;<br>die Couch, s","le canapé, le divan"
bequem (un-),"confortable, aisé, commode"
gemütlich (un-),"agréable, confortable, oú l'on se sent bien"
"der Schrank, die Schränke",l'armoire
"die Kommode, n",la commode
"die Schublade, n",le tiroir
"das Regal, e","l'étagère, le rayon"
"der Spiegel, -",le mirroir
"das Bett, en&nbsp;",le lit
"der Wecker, -","le réveille-matin, le réveil"
"die Decke, n",1. la couverture 2. le plafond
"der Teppich, e",le tapis
"das Licht, er",la lumière
"die Lampe, n",la lampe
"der Schalter, -&nbsp;","le commutateur, l'interrupteur"
"die Toilette, n",les toilettes
"das Badezimmer, -",la salle de bain
"der Wachenbecken, -",le lavabo&nbsp;
"der Wasserhahn, die Wasserhähne&nbsp;",le robinet
"der Balkon, e",le balcon
"das Schlafzimmer, -",la chambre à coucher
"das Betttuch, die Betttücher",le drap
"das Kopfkissen, -",l'oreiller
"die Ecke, n","le coin, l'angle"
"das Fenster, -",la fenêtre
"die Terasse, n",la terasse
"der Garten, die Gärten",le jardin
"der Vorhang, die Vorhänge",le rideau
"der Hof, die Höfe","1. la cour, le préau 2. la ferme"
ein/richten,"installer, arranger, aménager"
"das Möbel, -",le meuble
möbliert (un-),meublé (non meublé)
"der Tisch, e&nbsp;",la table
"die Vase, n",le vase
an/machen,"allumer, enclencher"
aus/machen,éteindre
"aus/gehen - geht aus, ging aus, ist ausgegangen",s'éteindre
"die Kerze, n",la bougie
"das Feuer, -",le feu
an/zünden,allumer (flamme)
"das Streichholz, die Streichhölzer",l'allumette
löschen,1. éteindre (une flamme) 2. effacer
"brennen - brennt, brannte, hat gebrannt",brûler (intr.)
"der Brand, die Brände",l'incendie
"die Flamme, n",la flamme
"der Rauch, /",la fumée
heizen,chauffer
"die Heizung, en",le chauffage
"der Apparat, e",l'appareil
"das Gerät, e","l'appareil, l'ustensile"
ein/schalten,enclencher
aus/schalten,"déclencher, arrêter"
benutzen / benützen,"utiliser, employer"
"der Gebrauch, die Gebraüche","l'usage, l'emploi (de qc)"
kaputt,"cassé, abîmé, fichu, brisé"
"zerbrechen - zerbricht, zerbrach, hat zerbrochen&nbsp;","(se) briser, casser"
"ab/reissen - reisst ab, riss ab, hat abgerissen",démolir
reparieren&nbsp;,réparer
"die Reparatur, en",la réparation
kleben,coller
"binden - bindet, band, hat gebunden","attacher, nouer, lier"
"fest/binden - i, a, u (an+D)",attacher (à)
"die Schnur, die Schnüre",la ficelle
"das Werkzeug, die Werkzeuge",l'outil
praktisch (un-),pratique (peu pratique)
nützen / nutzen&nbsp;,"être utile, servir"
nützlich,utile
unnütz&nbsp;,inutile
"der Hammer, die Hämmer",le marteau
"der Nagel, die Nägel",le clou
"der Haushalt, e",le ménage
weg/raümen&nbsp;,"débarasser, ranger"
putzen / reinigen,nettoyer
"der Staub, /",la poussière
"der Besen, -",le balai
"die Schaufel, n","la pelle, la ramassoire"
"weg/werfen - wirft weg, warf weg, hat weggeworfen",jeter (pour s'en débarasser)
"der Schmutz, /",la saleté
verschmutzen,"encrasser, polluer"
"der Hausmeister, - / die -in<br>der Hauswart, e / die -in","le concierge, le gardien"
heim/gehen<br>daheim sein,aller / être à la maison
"die Krippe, n",la crèche
"das Untergeschoss, e",le sous-sol
"der Flur, e","le corridor, le couloir"
"die Scheibe, n",1. la vitre 2. la tranche
"die Einrichtung, en","l'installation, l'arrangement"
"das Tischtuch, die Tischtücher",la nappe
bedecken (mit+D),"couvrir, recouvrir (de)"
beleuchten&nbsp;,éclairer
"der Stecker, -",le connecteur (électrique)
"die Steckdose, n",la prise (électrique)
"verbrennen - (e), a, a",brûler (transitif)
herrschen (über + A),"régner (sur), dominer"
"aus/brechen - bricht aus, brach aus, ist ausgebrochen&nbsp;",éclater (évènement)
"der Protest, e",la protestation
"die Verhandlung, en",la négociation
"der Kompromiss, e",le compromis
"die Außenpolitik, /",la politique étrangère
verwalten&nbsp;,administrer
"die Verwaltung, en",l'administration
"die Linke, /",la gauche
"die Rechte, /",la droite
der Rechtsradikalismus,l'extrémisme de droite
"das Amt, die Ämter","la fonction, l'office"
"das Rohr, e","le tuyau, le conduit"
"die Gebrauchsanweisung, e",le mode d'emploi
beschädigen&nbsp;,endommager
befestigen (an+D),fixer (à)
"der Draht, die Drähte&nbsp;",le fil de fer
"der Dreck, /","la saleté, la boue"
"der Staubsauger, -",l'aspirateur
fegen / kehren,balayer
"auf/heben - hebt auf, hob auf, hat aufgehoben",ramasser
"die Stadt, die Städte",la ville
"der Vorort, e",la banlieue
"der Stadtteil, e",le quartier
"das Viertel, -",le quart(ier)
"der Einwohner, - / -in",l'habitant
"die Strasse, n",la rue
"die Kreuzung, en","le carrefour, le croisement"
"der Platz, die Plätze",la place
